Year,ClubLongName,ClubShortName,Points
2022,Ruderclub Sarnen,RC Sarnen,2
2022,Rudergesellschaft Zürich,RG Zürich,2
2022,Seeclub Sempach,SC Sempach,1
2022,Société Nautique de Genève Section Aviron,SN Genève SA,1
2022,Société Nautique de Neuchâtel,SN Neuchâtel,1
2023,Basler Ruder-Club,Basler RC,289
2023,Belvoir Ruderclub Zürich,Belvoir RC Zürich,201
2023,Seeclub Zürich,SC Zürich,172
2023,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,147
2023,Rowing Club Bern,RC Bern,99
2023,Seeclub Luzern,SC Luzern,89
2023,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,75
2023,Ruderclub Zürich,RC Zürich,59
2023,Ruderclub Erlenbach,RC Erlenbach,56
2023,Rowing Club Lausanne,RC Lausanne,51
2023,See-Club Zug,SC Zug,51
2023,Ruderclub Schaffhausen,RC Schaffhausen,47
2023,Club Canottieri Lugano,CC Lugano,46
2023,Forward Rowing Club Morges,Forward RC Morges,33
2023,Seeclub Küsnacht,SC Küsnacht,24
2023,Ruderclub Blauweiss Basel,RC Blauweiss Basel,22
2023,Aviron Romand Zürich,Aviron Romand Zürich,20
2023,Club Aviron Vevey,CA Vevey,20
2023,Ruderclub Baden,RC Baden,20
2023,Nordiska Roddföreningen Zürich,Nordiska Zürich,14
2023,Ruderclub Thalwil,RC Thalwil,13
2023,Rudergesellschaft Zürich,RG Zürich,13
